Query #,Binary euclidean - precision,Binary cosine - precision,Binary euclidean - recall,Binary cosine - recall,Binary euclidean - F-measure,Binary cosine - F-measure,TF euclidean - precision,TF cosine - precision,TF euclidean - recall,TF cosine - recall,TF euclidean - F-measure,TF cosine - F-measure,TF-IDF euclidean - precision,TF-IDF cosine - precision,TF-IDF euclidean - recall,TF-IDF cosine - recall,TF-IDF euclidean - F-measure,TF-IDF cosine - F-measure
18,0.0,0.06666666666666667,0.0,0.25,0,0.10526315789473685,0.13333333333333333,0.06666666666666667,0.5,0.25,0.2105263157894737,0.10526315789473685,0.13333333333333333,0.13333333333333333,0.5,0.5,0.2105263157894737,0.2105263157894737
19,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
20,0.0,0.3333333333333333,0.0,0.5,0,0.4,0.13333333333333333,0.2,0.2,0.3,0.16,0.24,0.3333333333333333,0.4,0.5,0.6,0.4,0.48
21,0.13333333333333333,0.13333333333333333,0.4,0.4,0.2,0.2,0.06666666666666667,0.13333333333333333,0.2,0.4,0.1,0.2,0.13333333333333333,0.2,0.4,0.6,0.2,0.3
22,0.06666666666666667,0.0,0.5,0.0,0.11764705882352941,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
23,0.0,0.06666666666666667,0.0,0.030303030303030304,0,0.041666666666666664,0.06666666666666667,0.06666666666666667,0.030303030303030304,0.030303030303030304,0.041666666666666664,0.041666666666666664,0.3333333333333333,0.3333333333333333,0.15151515151515152,0.15151515151515152,0.20833333333333331,0.20833333333333331
24,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.13333333333333333,0.13333333333333333,0.5,0.5,0.2105263157894737,0.2105263157894737
25,0.0,0.06666666666666667,0.0,0.1,0,0.08,0.26666666666666666,0.2,0.4,0.3,0.32,0.24,0.4,0.4666666666666667,0.6,0.7,0.48,0.56
26,0.0,0.06666666666666667,0.0,0.14285714285714285,0,0.09090909090909091,0.06666666666666667,0.0,0.14285714285714285,0.0,0.09090909090909091,0,0.06666666666666667,0.06666666666666667,0.14285714285714285,0.14285714285714285,0.09090909090909091,0.09090909090909091
27,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.13333333333333333,0.13333333333333333,0.5,0.5,0.2105263157894737,0.2105263157894737
28,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
29,0.0,0.3333333333333333,0.0,0.5,0,0.4,0.0,0.0,0.0,0.0,0,0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.4,0.4
30,0.0,0.06666666666666667,0.0,0.125,0,0.08695652173913045,0.06666666666666667,0.06666666666666667,0.125,0.125,0.08695652173913045,0.08695652173913045,0.13333333333333333,0.13333333333333333,0.25,0.25,0.1739130434782609,0.1739130434782609
31,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.06666666666666667,0.5,0.5,0.11764705882352941,0.11764705882352941
32,0.0,0.06666666666666667,0.0,0.14285714285714285,0,0.09090909090909091,0.13333333333333333,0.13333333333333333,0.2857142857142857,0.2857142857142857,0.18181818181818182,0.18181818181818182,0.13333333333333333,0.13333333333333333,0.2857142857142857,0.2857142857142857,0.18181818181818182,0.18181818181818182
33,0.0,0.2,0.0,0.75,0,0.31578947368421056,0.2,0.2,0.75,0.75,0.31578947368421056,0.31578947368421056,0.26666666666666666,0.26666666666666666,1.0,1.0,0.4210526315789474,0.4210526315789474
34,0.0,0.2,0.0,0.42857142857142855,0,0.27272727272727276,0.2,0.2,0.42857142857142855,0.42857142857142855,0.27272727272727276,0.27272727272727276,0.26666666666666666,0.26666666666666666,0.5714285714285714,0.5714285714285714,0.36363636363636365,0.36363636363636365
35,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
36,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
37,0.0,0.13333333333333333,0.0,0.2,0,0.16,0.13333333333333333,0.13333333333333333,0.2,0.2,0.16,0.16,0.4,0.4,0.6,0.6,0.48,0.48
38,0.0,0.0,0.0,0.0,0,0,0.13333333333333333,0.06666666666666667,0.18181818181818182,0.09090909090909091,0.15384615384615383,0.07692307692307691,0.13333333333333333,0.13333333333333333,0.18181818181818182,0.18181818181818182,0.15384615384615383,0.15384615384615383
39,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.06666666666666667,0.07142857142857142,0.07142857142857142,0.0689655172413793,0.0689655172413793,0.2,0.2,0.21428571428571427,0.21428571428571427,0.20689655172413796,0.20689655172413796
40,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.0,0.07692307692307693,0.0,0.07142857142857144,0,0.06666666666666667,0.13333333333333333,0.07692307692307693,0.15384615384615385,0.07142857142857144,0.14285714285714288
41,0.0,0.06666666666666667,0.0,0.25,0,0.10526315789473685,0.13333333333333333,0.13333333333333333,0.5,0.5,0.2105263157894737,0.2105263157894737,0.13333333333333333,0.13333333333333333,0.5,0.5,0.2105263157894737,0.2105263157894737
42,0.0,0.13333333333333333,0.0,0.3333333333333333,0,0.19047619047619044,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.19047619047619044,0.19047619047619044,0.2,0.2,0.5,0.5,0.28571428571428575,0.28571428571428575
43,0.0,0.2,0.0,0.42857142857142855,0,0.27272727272727276,0.2,0.26666666666666666,0.42857142857142855,0.5714285714285714,0.27272727272727276,0.36363636363636365,0.4,0.4,0.8571428571428571,0.8571428571428571,0.5454545454545455,0.5454545454545455
44,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
45,0.0,0.2,0.0,0.23076923076923078,0,0.21428571428571427,0.2,0.13333333333333333,0.23076923076923078,0.15384615384615385,0.21428571428571427,0.14285714285714288,0.2,0.2,0.23076923076923078,0.23076923076923078,0.21428571428571427,0.21428571428571427
46,0.0,0.2,0.0,0.1875,0,0.19354838709677422,0.4,0.4,0.375,0.375,0.38709677419354843,0.38709677419354843,0.4,0.4,0.375,0.375,0.38709677419354843,0.38709677419354843
47,0.0,0.4666666666666667,0.0,0.4666666666666667,0,0.4666666666666667,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.4,0.4666666666666667,0.4,0.4666666666666667,0.4000000000000001,0.4666666666666667
48,0.0,0.26666666666666666,0.0,0.3333333333333333,0,0.2962962962962963,0.2,0.2,0.25,0.25,0.22222222222222224,0.22222222222222224,0.2,0.2,0.25,0.25,0.22222222222222224,0.22222222222222224
49,0.06666666666666667,0.2,0.3333333333333333,1.0,0.1111111111111111,0.33333333333333337,0.0,0.0,0.0,0.0,0,0,0.2,0.2,1.0,1.0,0.33333333333333337,0.33333333333333337
50,0.06666666666666667,0.06666666666666667,0.14285714285714285,0.14285714285714285,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
51,0.06666666666666667,0.06666666666666667,0.09090909090909091,0.09090909090909091,0.07692307692307691,0.07692307692307691,0.13333333333333333,0.06666666666666667,0.18181818181818182,0.09090909090909091,0.15384615384615383,0.07692307692307691,0.06666666666666667,0.13333333333333333,0.09090909090909091,0.18181818181818182,0.07692307692307691,0.15384615384615383
52,0.0,0.13333333333333333,0.0,0.4,0,0.2,0.0,0.0,0.0,0.0,0,0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.5
53,0.0,0.0,0.0,0.0,0,0,0.0,0.13333333333333333,0.0,0.18181818181818182,0,0.15384615384615383,0.13333333333333333,0.13333333333333333,0.18181818181818182,0.18181818181818182,0.15384615384615383,0.15384615384615383
54,0.0,0.13333333333333333,0.0,0.2,0,0.16,0.13333333333333333,0.13333333333333333,0.2,0.2,0.16,0.16,0.13333333333333333,0.13333333333333333,0.2,0.2,0.16,0.16
55,0.06666666666666667,0.2,0.09090909090909091,0.2727272727272727,0.07692307692307691,0.23076923076923075,0.2,0.2,0.2727272727272727,0.2727272727272727,0.23076923076923075,0.23076923076923075,0.26666666666666666,0.26666666666666666,0.36363636363636365,0.36363636363636365,0.30769230769230765,0.30769230769230765
56,0.0,0.26666666666666666,0.0,0.36363636363636365,0,0.30769230769230765,0.2,0.06666666666666667,0.2727272727272727,0.09090909090909091,0.23076923076923075,0.07692307692307691,0.26666666666666666,0.26666666666666666,0.36363636363636365,0.36363636363636365,0.30769230769230765,0.30769230769230765
57,0.0,0.06666666666666667,0.0,0.06666666666666667,0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
58,0.06666666666666667,0.13333333333333333,0.1,0.2,0.08,0.16,0.13333333333333333,0.13333333333333333,0.2,0.2,0.16,0.16,0.2,0.2,0.3,0.3,0.24,0.24
59,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
60,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.6666666666666666,0.19047619047619044,0.3809523809523809,0.13333333333333333,0.2,0.3333333333333333,0.5,0.19047619047619044,0.28571428571428575,0.26666666666666666,0.26666666666666666,0.6666666666666666,0.6666666666666666,0.3809523809523809,0.3809523809523809
61,0.0,0.13333333333333333,0.0,0.3333333333333333,0,0.19047619047619044,0.2,0.13333333333333333,0.5,0.3333333333333333,0.28571428571428575,0.19047619047619044,0.2,0.2,0.5,0.5,0.28571428571428575,0.28571428571428575
62,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.09523809523809522,0.09523809523809522
63,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
64,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111
65,0.13333333333333333,0.4666666666666667,0.125,0.4375,0.12903225806451615,0.45161290322580644,0.4,0.4,0.375,0.375,0.38709677419354843,0.38709677419354843,0.4666666666666667,0.4666666666666667,0.4375,0.4375,0.45161290322580644,0.45161290322580644
